Rank,country,Capital,Continent,Area (km²),1950,1955,1960,1965,1970 Population,1975,1980 Population,1985,1990 Population,1995,2000 Population,2005,2010 Population,2015 Population,2020 Population,2023,World Population Percentage
190,Saint Lucia,Castries,North America,616,86695,88463,91614,97024,103090,111497,121633,132751,142301,152348,159500,165386,170935,175623,179237,180251,0.0
220,Saint Martin,Marigot,North America,53,2978,3538,4135,4832,5802,6656,7776,15714,28127,29435,29610,33452,36458,35020,32552,32077,0.0
188,Samoa,Apia,Oceania,2842,87951,98037,113335,129789,142771,155263,164905,166517,168186,174902,184008,188626,194672,203571,214929,225681,0.0
218,San Marino,San Marino,Europe,61,12963,13967,15556,17273,18169,19803,21346,22241,23132,24886,26823,29508,31608,33570,34007,33642,0.0
41,Saudi Arabia,Riyadh,Asia,2149690,3089693,3581910,4165563,4978922,6106191,7897544,10171710,12890245,16004763,18888857,21547390,24397644,29411929,32749848,35997107,36947025,0.46
72,Senegal,Dakar,Africa,196722,2496065,2847262,3273177,3770874,4367744,5047922,5703869,6520705,7536001,8632681,9704287,10974057,12530121,14356181,16436119,17763163,0.22
105,Serbia,Belgrade,Europe,88361,6017683,6348547,6579989,6902989,7193533,7479833,7777010,7912069,7987529,7982462,7935022,7830944,7653748,7519496,7358005,7149077,0.09
196,Seychelles,Victoria,Africa,452,38106,39788,43167,48123,54379,60943,65290,67833,71057,74735,80060,85883,92409,99240,105530,107660,0.0
102,Sierra Leone,Freetown,Africa,71740,2000790,2135644,2301310,2520576,2778557,3055916,3367477,3749419,4325388,4324149,4584067,5683334,6436698,7314773,8233969,8791092,0.11
113,Singapore,Singapore,Asia,710,1006701,1267611,1601079,1860651,2061831,2232425,2400729,2685994,3022209,3543875,4053602,4344637,5163590,5650018,5909869,6014723,0.07
214,Sint Maarten,Philipsburg,North America,34,1458,1973,2646,4161,6260,8906,12243,19064,27845,31596,30489,31494,33034,40205,43621,44222,0.0
116,Slovakia,Bratislava,Europe,49037,3465617,3796626,4124239,4363511,4522867,4737059,4973883,5146571,5261305,5349997,5376690,5376242,5396424,5424444,5456681,5795199,0.07
148,Slovenia,Ljubljana,Europe,20273,1445033,1521772,1599571,1669453,1741286,1817044,1901570,1952518,1986024,1991106,1984339,2004778,2057286,2080862,2117641,2119675,0.03
166,Solomon Islands,Honiara,Oceania,28896,105209,117314,133440,151495,172833,197853,233668,277158,324171,375189,429978,482486,540394,612660,691191,740424,0.01
70,Somalia,Mogadishu,Africa,637657,2213052,2529910,2870732,3267593,3720977,4228289,5892224,6630637,6999096,7210930,8721465,10467292,12026649,13763906,16537016,18143378,0.22
24,South Africa,Pretoria,Africa,1221037,13043844,14594129,16520441,19187194,22368306,25777964,29463549,33752964,39877570,43986084,46813266,49017147,51784921,55876504,58801927,60414495,0.75
29,South Korea,Seoul,Asia,100210,20104010,22075008,25817529,29179407,32601143,35930694,38170501,41232709,44120039,45393418,46788591,47889573,48813042,50994401,51844690,51784059,0.65
86,South Sudan,Juba,Africa,619745,2492077,2695349,2907724,3143622,3342410,3718279,4192011,4706975,4750817,5302042,6114440,7662654,9714419,11194299,10606227,11088796,0.14
30,Spain,Madrid,Europe,505992,28069694,29095374,30415591,32112015,33792617,35760431,37491666,38471920,38889889,39814573,40741651,43685374,46572772,46431342,47363807,47519628,0.6
61,Sri Lanka,Colombo,Asia,65610,7945977,8749627,9783871,11035224,12388769,13662873,14943645,16092338,17204094,18177572,18776371,19673866,20668557,21336697,21715079,21893579,0.27
32,Sudan,Khartoum,Africa,1886068,6191323,7193065,8326462,9712785,11305206,13497543,16673586,19517196,21090886,23290602,26298773,29540577,33739933,38171178,44440486,48109006,0.59
170,Suriname,Paramaribo,South America,163820,195765,227145,268396,321069,379918,392137,375112,387171,412756,434490,478998,516220,546080,575475,607065,623236,0.01
87,Sweden,Stockholm,Europe,450295,7014610,7264351,7492895,7755752,8027702,8224408,8311763,8389913,8548406,8758496,8871043,9051738,9381729,9849349,10368969,10612086,0.13
101,Switzerland,Bern,Europe,41284,4692639,5002410,5328273,5857047,6181227,6338267,6319113,6469824,6711693,7038297,7182059,7428435,7822435,8281732,8638613,8796669,0.11
60,Syria,Damascus,Asia,185180,3543537,3989101,4610712,5368451,6319199,7497126,8898954,10540926,12408996,14313450,16307654,18583557,22337563,19205178,20772595,23227014,0.28
57,Taiwan,Taipei,Asia,36193,7623130,9229462,10983147,13070708,14957870,16551774,18100281,19511876,20586174,21455813,22194731,22796306,23083083,23512136,23821464,23923276,0.3
95,Tajikistan,Dushanbe,Asia,143100,1526140,1805209,2131992,2538295,2993019,3482125,4045965,4660598,5417860,5916173,6272998,6929145,7621779,8524063,9543207,10143543,0.12
22,Tanzania,Dodoma,Africa,945087,7632399,8725576,10042458,11630603,13618192,16243826,19297659,22569625,26206012,30560071,34463704,39439505,45110527,52542823,61704518,67438106,0.82
20,Thailand,Bangkok,Asia,513120,20411638,23173970,26596584,30940270,35791728,40908471,45737753,50594940,55228410,59424834,63066603,65821360,68270489,70294397,71475664,71801279,0.9
155,Timor-Leste,Dili,Asia,14874,414791,437426,468573,507477,554021,600126,642224,682109,758106,819226,878360,969313,1088486,1205813,1299995,1360596,0.02
100,Togo,Lomé,Africa,56785,1398525,1518825,1651367,1820396,2197383,2509713,2838110,3336508,3875947,4279566,5008035,5711597,6571855,7473229,8442580,9053799,0.11
233,Tokelau,Nukunonu,Oceania,12,1599,1629,1795,1896,1714,1621,1647,1739,1669,1632,1666,1429,1367,1454,1827,1893,0.0
197,Tonga,Nuku‘alofa,Oceania,747,49830,58024,67428,77686,86484,93477,96708,97055,98727,99977,102603,105633,107383,106122,105254,107773,0.0
153,Trinidad and Tobago,Port-of-Spain,North America,5130,648616,742576,847063,928462,988890,1054017,1127852,1199785,1266518,1307822,1332203,1369075,1410296,1460177,1518147,1534937,0.02
79,Tunisia,Tunis,Africa,163610,3606288,3975544,4195467,4457282,5047404,5769074,6578156,7476092,8440023,9294102,9893316,10388344,10895063,11557779,12161723,12458223,0.15
18,Turkey,Ankara,Asia,783562,20977697,23821353,27510980,31374536,35540990,39673590,44089069,49175673,54324142,59305490,64113547,68704715,73195345,79646178,84135428,85816199,1.07
111,Turkmenistan,Ashgabat,Asia,488100,1214096,1363507,1602052,1897095,2201432,2525760,2862903,3246887,3720278,4226623,4569132,4885775,5267970,5766431,6250438,6516100,0.08
227,Tuvalu,Funafuti,Oceania,26,4732,5195,5404,5548,5814,6381,7731,8329,9182,9585,9638,9912,10550,10877,11069,11396,0.0
31,Uganda,Kampala,Africa,241550,5750637,6601785,7617746,8829056,10317212,11730959,13284026,15038915,17586630,20680831,24020697,27946588,32341728,37477356,44404611,48582334,0.59
38,Ukraine,Kiev,Europe,603500,37302996,39836510,42767251,45387091,47279086,48892187,49973920,50917399,51589817,51061265,48879755,46912610,45683020,44982564,43909666,36744634,0.5
97,United Arab Emirates,Abu Dhabi,Asia,83600,74591,101803,133426,173797,298084,543394,1014048,1379536,1900151,2433988,3275333,4280993,8481771,8916899,9287289,9516871,0.12
21,United Kingdom,London,Europe,242900,50055065,51193266,52543017,54229565,55650166,56266842,56326328,56643045,57210442,57930364,58850043,60383741,62760039,65224364,67059474,67736802,0.85
3,United States,"Washington, D.C.",North America,9372610,148281550,161136449,176188578,189703283,200328340,211274535,223140018,235146182,248083732,265660556,282398554,296842670,311182845,324607776,335942003,339996563,4.24
133,Uruguay,Montevideo,South America,181034,2234144,2366209,2529021,2680427,2790265,2871947,2953750,3024218,3117012,3208300,3292224,3317665,3352651,3402818,3429086,3423108,0.04
43,Uzbekistan,Tashkent,Asia,447400,6247550,7141923,8372311,10130096,12011361,13894347,15947129,18063201,20579100,23026206,24925554,26573423,28614227,30949417,33526656,35163944,0.43
181,Vanuatu,Port-Vila,Oceania,12189,51568,56770,64608,74677,87019,102010,118156,133119,150882,170612,192074,217632,245453,276438,311685,334506,0.0
51,Venezuela,Caracas,South America,916445,5488614,6752139,8156937,9688138,11355475,13176387,15210443,17402304,19750579,22107286,24427729,26668785,28715022,30529716,28490453,28838499,0.35
16,Vietnam,Hanoi,Asia,331212,25109200,28263031,32718461,37466077,41928849,46969616,52968270,59811313,66912613,73759110,79001142,83142095,87411012,92191398,96648685,98858950,1.23
172,Western Sahara,El Aaiún,Africa,266000,12982,20690,33023,51206,76371,66865,116775,150190,178529,208381,270375,339187,413296,491824,556048,587259,0.01
46,Yemen,Sanaa,Asia,527968,4712810,5091603,5542459,6097298,6843607,7855657,9204938,11036918,13375121,16103339,18628700,21320671,24743946,28516545,32284046,34449825,0.42
63,Zambia,Lusaka,Africa,752612,2318448,2677209,3119430,3658024,4281671,4931249,5720438,6686449,7686401,8684135,9891136,11564870,13792086,16248230,18927715,20569737,0.25
74,Zimbabwe,Harare,Africa,390757,2791326,3263625,3806310,4447149,5202918,6097083,7049926,8690515,10113893,10994041,11834676,12224753,12839771,14154937,15669666,16665409,0.2
